🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
2025-02-05 10:53:02.519172: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-02-05 10:53:02.537937: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1738752782.560092    2610 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1738752782.566741    2610 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-02-05 10:53:02.588898: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.1.8: Fast Mistral patching. Transformers: 4.47.1.
   \\   /|    GPU: NVIDIA A100-SXM4-40GB. Max memory: 39.557 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1+cu124. CUDA: 8.0. CUDA Toolkit: 12.4. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.29.post1. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
model.safetensors: 100% 2.26G/2.26G [00:05<00:00, 450MB/s]
generation_config.json: 100% 194/194 [00:00<00:00, 1.60MB/s]
tokenizer_config.json: 100% 3.34k/3.34k [00:00<00:00, 29.9MB/s]
tokenizer.model: 100% 500k/500k [00:00<00:00, 9.75MB/s]
added_tokens.json: 100% 293/293 [00:00<00:00, 2.51MB/s]
special_tokens_map.json: 100% 458/458 [00:00<00:00, 4.10MB/s]
tokenizer.json: 100% 1.84M/1.84M [00:00<00:00, 18.0MB/s]
Unsloth 2025.1.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
Generating train split: 1914 examples [00:00, 61223.71 examples/s]
Map: 100% 1914/1914 [00:04<00:00, 448.06 examples/s]
GPU = NVIDIA A100-SXM4-40GB. Max memory = 39.55743408203125 GB.
2.283 GB of memory reserved.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 1,914 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 239
 "-____-"     Number of trainable parameters = 29,884,416
{'loss': 0.0444, 'grad_norm': 0.03612463176250458, 'learning_rate': 0.00010854700854700855, 'epoch': 0.47}
{'loss': 0.0378, 'grad_norm': 0.037879522889852524, 'learning_rate': 0.0001076923076923077, 'epoch': 0.47}
{'loss': 0.0437, 'grad_norm': 0.04047617316246033, 'learning_rate': 0.00010683760683760684, 'epoch': 0.48}
{'loss': 0.0414, 'grad_norm': 0.03867558017373085, 'learning_rate': 0.000105982905982906, 'epoch': 0.48}
{'loss': 0.0354, 'grad_norm': 0.03396788239479065, 'learning_rate': 0.00010512820512820514, 'epoch': 0.48}
{'loss': 0.0427, 'grad_norm': 0.03551445156335831, 'learning_rate': 0.00010427350427350428, 'epoch': 0.49}
{'loss': 0.053, 'grad_norm': 0.04467055946588516, 'learning_rate': 0.00010341880341880343, 'epoch': 0.49}
{'loss': 0.0438, 'grad_norm': 0.041026026010513306, 'learning_rate': 0.00010256410256410256, 'epoch': 0.5}
{'loss': 0.043, 'grad_norm': 0.04372952878475189, 'learning_rate': 0.0001017094017094017, 'epoch': 0.5}
{'loss': 0.0418, 'grad_norm': 0.03651920706033707, 'learning_rate': 0.00010085470085470086, 'epoch': 0.51}
{'loss': 0.0472, 'grad_norm': 0.04079986363649368, 'learning_rate': 0.0001, 'epoch': 0.51}
{'loss': 0.0492, 'grad_norm': 0.04487152397632599, 'learning_rate': 9.914529914529915e-05, 'epoch': 0.51}
{'loss': 0.0338, 'grad_norm': 0.034238964319229126, 'learning_rate': 9.829059829059829e-05, 'epoch': 0.52}
{'loss': 0.0416, 'grad_norm': 0.042199160903692245, 'learning_rate': 9.743589743589744e-05, 'epoch': 0.52}
{'loss': 0.0287, 'grad_norm': 0.030293574556708336, 'learning_rate': 9.658119658119658e-05, 'epoch': 0.53}
{'loss': 0.0306, 'grad_norm': 0.03825382888317108, 'learning_rate': 9.572649572649574e-05, 'epoch': 0.53}
{'loss': 0.0409, 'grad_norm': 0.043463561683893204, 'learning_rate': 9.487179487179487e-05, 'epoch': 0.54}
{'loss': 0.0428, 'grad_norm': 0.03659585863351822, 'learning_rate': 9.401709401709401e-05, 'epoch': 0.54}
{'loss': 0.0404, 'grad_norm': 0.04326588660478592, 'learning_rate': 9.316239316239317e-05, 'epoch': 0.54}
{'loss': 0.0505, 'grad_norm': 0.04534846544265747, 'learning_rate': 9.230769230769232e-05, 'epoch': 0.55}
{'loss': 0.0414, 'grad_norm': 0.04131234064698219, 'learning_rate': 9.145299145299146e-05, 'epoch': 0.55}
{'loss': 0.049, 'grad_norm': 0.04405716434121132, 'learning_rate': 9.05982905982906e-05, 'epoch': 0.56}
{'loss': 0.0432, 'grad_norm': 0.041360147297382355, 'learning_rate': 8.974358974358975e-05, 'epoch': 0.56}
{'loss': 0.0503, 'grad_norm': 0.04515017569065094, 'learning_rate': 8.888888888888889e-05, 'epoch': 0.56}
{'loss': 0.0311, 'grad_norm': 0.030283598229289055, 'learning_rate': 8.803418803418804e-05, 'epoch': 0.57}
{'loss': 0.0394, 'grad_norm': 0.03962497040629387, 'learning_rate': 8.717948717948718e-05, 'epoch': 0.57}
{'loss': 0.0402, 'grad_norm': 0.03564110025763512, 'learning_rate': 8.632478632478634e-05, 'epoch': 0.58}
{'loss': 0.0451, 'grad_norm': 0.04533291980624199, 'learning_rate': 8.547008547008547e-05, 'epoch': 0.58}
{'loss': 0.0479, 'grad_norm': 0.03910820931196213, 'learning_rate': 8.461538461538461e-05, 'epoch': 0.59}
{'loss': 0.0293, 'grad_norm': 0.036295559257268906, 'learning_rate': 8.376068376068377e-05, 'epoch': 0.59}
